127.0.0.1|2018-03-16 17:05:54
127.0.0.1|2018-03-16 17:06:59
127.0.0.1|2018-03-16 17:07:15
127.0.0.1|2018-03-16 17:08:28
127.0.0.1|2018-03-16 17:08:54
127.0.0.1|2018-03-16 17:09:14
127.0.0.1|2018-03-16 17:09:53
127.0.0.1|2018-03-16 17:10:40
127.0.0.1|2018-03-16 17:11:55
127.0.0.1|2018-03-16 17:13:45
127.0.0.1|2018-03-16 17:14:17
127.0.0.1|2018-03-17 16:26:12
127.0.0.1|2018-03-17 16:27:26
127.0.0.1|2018-03-17 16:27:27
127.0.0.1|2018-03-17 16:27:28
127.0.0.1|2018-03-17 16:28:07
127.0.0.1|2018-03-17 16:28:19
127.0.0.1|2018-03-17 16:29:18
127.0.0.1|2018-03-17 16:29:46
127.0.0.1|2018-03-17 16:29:46
127.0.0.1|2018-03-17 16:29:47
